type,priority,storyPoints,complexityScore,riskLevel,hasBlockingDependencies,dependenciesCount,memberLevel,memberAvgCompletionHours,memberAvgDelayHours,memberCompletedTasksCount,memberAvgReopenRate,memberCurrentWorkload,memberAvgWorkLogHours,memberAvgStoryPoints,actualHours
Feature,Critical,3,3,5,1,2,Junior,27.35,1.88,26,0.079,14,13.23,6.22,49.9
Improvement,High,5,5,3,0,0,Senior,18.18,2.26,20,0.353,2,2.5,1.56,40.05
Bug,Critical,1,1,2,0,1,Senior,35.37,4.21,73,0.034,7,9.61,7.77,5.27
Feature,High,13,5,3,0,1,Senior,27.96,7.23,12,0.004,3,9.82,1.46,66.95
Bug,High,2,5,5,0,0,Expert,26.24,0.45,44,0.016,7,25.34,9.73,14.54
Feature,Medium,2,3,4,0,0,Junior,29.68,1.7,46,0.316,5,18.2,7.62,20.26
Spike,High,5,3,1,0,1,Junior,30.06,1.06,24,0.487,8,6.47,9.07,74.57
Feature,High,8,3,4,0,2,Senior,20.73,1.76,76,0.386,5,28.05,4.96,39.15
Improvement,High,5,4,2,0,3,Expert,17.93,4.28,63,0.127,3,21.79,1.52,28.66
Feature,Medium,2,2,4,1,1,Senior,36.55,2.69,69,0.036,2,10.13,3.06,11.41
Bug,Medium,1,1,3,0,0,Senior,20.9,1.13,98,0.308,14,8.61,9.74,3.6
Bug,Medium,8,3,5,0,2,Senior,10.2,1.78,27,0.002,13,32.45,6.57,26.08
Feature,Medium,21,1,4,0,2,Senior,21.82,4.07,19,0.396,3,22.66,3.05,28.13
Spike,Medium,8,1,4,0,0,Junior,3.31,2.37,83,0.122,10,28.45,5.35,12.3
Improvement,High,3,1,5,0,0,Junior,29.49,0.32,40,0.15,6,8.67,3.86,18.98
Spike,Medium,13,3,3,0,2,Junior,6.83,2.76,3,0.172,7,21.02,5.41,30.58
Technical Debt,Low,3,3,1,1,2,Junior,6.25,1.73,83,0.382,1,2.82,8.53,16.71
Bug,Medium,5,2,4,0,0,Junior,37.96,5.72,68,0.133,8,21.22,3.0,35.39
Spike,High,3,3,2,0,3,Senior,31.36,0.31,85,0.142,6,7.92,4.59,30.77
Feature,Medium,3,3,3,1,1,Junior,17.74,5.58,23,0.27,6,23.75,5.01,37.46
Feature,Medium,8,1,3,1,4,Junior,11.1,1.88,16,0.232,12,32.69,6.28,25.07
Feature,High,5,2,4,0,0,Senior,34.05,0.72,4,0.478,11,16.6,1.7,48.21
Feature,Medium,3,5,5,0,1,Junior,38.81,0.25,56,0.132,9,11.38,2.86,42.87
Feature,Critical,3,3,4,0,0,Junior,21.32,3.32,25,0.046,13,5.19,4.58,42.5
Feature,Critical,1,3,4,0,2,Expert,24.04,1.74,99,0.27,14,23.8,8.28,10.91
Technical Debt,Medium,5,5,5,0,0,Junior,11.24,1.51,71,0.092,3,20.86,2.68,33.6
Feature,Medium,2,1,2,1,2,Junior,24.39,4.11,72,0.207,6,19.52,8.93,13.85
Feature,High,2,2,5,1,0,Junior,17.22,2.82,16,0.094,1,32.82,4.05,20.2
Bug,Low,5,1,4,0,2,Expert,34.13,3.08,55,0.44,10,34.26,3.28,14.6
Feature,Medium,5,4,1,1,0,Senior,16.33,3.86,7,0.164,9,25.38,4.68,48.06
Technical Debt,Medium,8,3,5,0,0,Junior,26.65,2.21,63,0.387,13,7.66,5.98,77.05
Feature,Critical,5,4,2,0,0,Senior,9.73,3.96,68,0.474,13,33.19,7.61,26.16
Spike,Low,8,3,5,0,0,Junior,5.45,2.32,9,0.47,2,12.73,5.29,20.85
Improvement,High,13,4,5,0,2,Senior,3.53,2.7,49,0.262,1,3.69,8.36,27.7
Feature,High,8,5,3,0,0,Senior,17.79,0.32,54,0.492,11,9.2,8.37,62.58
Feature,Medium,5,3,3,0,0,Junior,8.21,2.25,13,0.328,4,29.23,1.02,19.49
Technical Debt,Low,3,3,4,1,0,Senior,39.75,0.55,90,0.064,0,7.93,8.12,19.83
Improvement,Critical,21,4,4,0,1,Senior,32.34,1.88,26,0.444,13,14.43,4.98,92.08
Improvement,Medium,3,2,5,0,0,Expert,28.35,2.72,4,0.234,12,10.3,9.7,19.09
Improvement,High,2,4,1,1,0,Expert,32.53,0.55,78,0.076,1,2.63,8.38,12.23
Feature,Medium,3,3,4,0,1,Senior,11.98,1.02,27,0.396,14,20.1,4.46,24.05
Feature,Medium,1,3,5,0,1,Expert,35.41,0.05,4,0.312,14,22.38,6.71,6.2
Feature,Medium,21,2,5,1,1,Senior,39.83,3.4,85,0.441,10,27.9,2.75,113.59
Technical Debt,Low,5,1,5,0,0,Expert,13.01,4.41,11,0.414,5,15.1,3.61,13.53
Bug,Low,5,2,5,1,0,Senior,39.42,0.16,7,0.16,5,5.81,2.82,20.07
Feature,High,5,1,5,0,2,Senior,14.18,1.08,58,0.128,11,23.17,7.76,20.25
Feature,Medium,3,3,3,0,3,Expert,2.45,2.49,64,0.367,7,31.26,1.07,4.53
Feature,Medium,1,5,2,1,1,Expert,15.95,4.21,98,0.287,8,5.07,4.67,12.63
Feature,Medium,5,5,2,1,0,Junior,39.91,3.89,59,0.035,8,7.21,8.54,83.52
Improvement,High,5,4,5,0,1,Junior,26.14,1.95,79,0.091,6,12.19,7.38,54.75
Bug,Low,3,2,4,0,2,Expert,28.43,3.65,54,0.076,11,23.11,4.8,9.3
Technical Debt,High,8,2,1,0,1,Senior,11.06,1.94,93,0.295,9,18.81,6.7,14.47
Bug,Low,2,5,5,0,2,Expert,7.54,3.9,42,0.043,0,25.22,4.89,9.72
Feature,Low,2,1,1,0,0,Senior,35.65,1.98,40,0.104,3,2.07,8.6,5.75
Improvement,Low,2,2,3,1,1,Expert,17.71,2.78,9,0.273,6,28.56,6.15,9.81
Improvement,High,3,1,2,0,1,Junior,2.16,4.52,97,0.067,1,34.57,6.69,2.92
Bug,Low,8,1,3,0,1,Junior,13.18,1.27,74,0.124,11,2.59,9.9,20.7
Improvement,Low,8,1,4,0,1,Senior,9.44,0.21,83,0.453,8,17.84,7.93,12.22
Bug,Medium,3,1,4,1,1,Expert,24.94,4.34,6,0.349,12,26.16,3.57,13.21
Bug,High,5,4,5,0,2,Senior,30.73,6.1,20,0.153,0,17.2,7.96,45.42
Bug,Medium,5,4,4,0,3,Senior,20.9,2.46,74,0.439,8,21.16,9.36,36.67
Feature,Medium,2,5,4,1,0,Senior,9.06,6.39,86,0.125,14,32.31,3.66,32.35
Feature,Low,2,4,3,0,1,Senior,4.2,7.94,43,0.295,6,19.35,8.36,12.14
Feature,Medium,21,2,1,0,3,Expert,13.91,4.23,94,0.184,12,9.04,3.14,21.23
Bug,High,5,4,2,1,0,Junior,32.63,3.47,81,0.376,9,26.11,4.91,64.28
Feature,High,21,2,4,0,0,Junior,17.94,0.84,87,0.186,5,13.76,7.21,33.0
Bug,Medium,3,2,4,0,0,Senior,11.59,2.23,85,0.124,13,10.69,3.19,17.93
Spike,Medium,5,1,3,1,0,Junior,2.79,1.74,36,0.304,11,9.45,2.69,12.62
Feature,Low,2,5,2,0,3,Expert,20.85,0.63,43,0.373,6,3.7,5.16,11.34
Bug,Medium,3,1,3,1,0,Junior,28.02,4.71,64,0.268,1,32.72,8.05,13.92
Improvement,Low,5,1,1,0,1,Expert,9.23,0.98,5,0.358,9,20.15,6.36,6.65
Feature,High,3,4,3,1,0,Expert,22.41,2.18,37,0.211,11,33.47,7.31,38.3
Feature,Critical,2,4,2,0,0,Junior,17.99,1.88,92,0.398,1,30.3,7.2,21.55
Feature,Critical,3,2,2,0,2,Expert,28.75,6.0,42,0.293,13,2.03,5.9,26.94
Feature,High,1,4,4,0,1,Senior,34.7,2.54,56,0.098,2,9.41,3.84,9.31
Spike,High,5,4,1,1,0,Senior,13.67,6.49,74,0.445,5,11.72,4.8,43.87
Technical Debt,High,3,3,5,0,4,Junior,36.38,2.93,79,0.418,0,17.65,4.43,42.82
Bug,Medium,1,2,4,0,0,Expert,28.86,0.3,69,0.482,10,25.35,1.71,3.75
Technical Debt,High,2,2,3,0,0,Senior,3.41,2.72,64,0.285,3,24.15,9.09,5.46
Technical Debt,Medium,2,3,3,1,1,Expert,32.07,2.27,54,0.338,7,34.57,6.78,18.9
Feature,Medium,5,2,2,1,0,Senior,20.8,4.4,34,0.432,7,32.39,8.71,44.41
Technical Debt,High,1,5,2,0,1,Senior,37.93,3.55,23,0.026,13,7.33,7.98,14.25
Bug,Medium,8,5,2,1,1,Junior,14.3,4.72,37,0.456,4,30.24,1.61,59.95
Technical Debt,Medium,1,3,5,1,0,Junior,24.47,0.89,2,0.136,6,29.66,2.95,12.58
Technical Debt,Critical,2,4,5,0,1,Senior,38.33,1.94,50,0.029,4,20.54,9.56,28.67
Feature,Low,8,5,4,0,0,Expert,12.3,1.6,60,0.119,3,12.5,5.16,20.46
Feature,Medium,5,3,5,0,1,Junior,19.93,1.63,39,0.293,5,8.09,8.31,40.76
Feature,Critical,1,5,2,1,0,Expert,30.59,8.02,53,0.024,13,8.22,6.18,18.19
Bug,High,8,1,4,0,3,Expert,28.26,4.69,65,0.0,7,12.49,8.41,26.07
Technical Debt,Medium,3,3,4,0,2,Junior,33.87,1.19,59,0.32,11,18.13,7.61,43.28
Technical Debt,Medium,8,2,1,0,0,Junior,21.75,3.89,14,0.227,9,20.85,3.52,44.35
Feature,Medium,5,5,5,1,3,Expert,14.12,1.1,85,0.422,0,12.05,9.92,37.41
Bug,High,5,2,3,0,1,Junior,22.33,1.53,45,0.129,2,13.12,5.41,27.66
Bug,High,21,3,3,0,1,Junior,15.3,3.3,54,0.14,3,1.46,6.26,33.65
Feature,Medium,2,5,1,0,2,Junior,8.7,1.33,3,0.039,4,1.07,5.86,18.01
Feature,Low,5,2,2,0,0,Expert,23.09,0.35,23,0.269,0,31.84,8.97,13.18
Feature,Low,3,4,1,0,0,Senior,3.84,3.09,82,0.183,8,1.48,3.52,8.49
Spike,Critical,1,4,2,0,0,Junior,3.39,0.35,93,0.17,7,2.13,1.56,7.74
Feature,Medium,1,1,5,1,0,Junior,4.45,1.16,85,0.229,1,7.99,4.85,6.99
Bug,High,2,3,5,0,0,Senior,27.56,1.71,39,0.425,4,26.28,9.26,16.83
Improvement,Low,5,2,4,0,1,Junior,17.47,2.08,26,0.053,8,24.08,4.95,26.27
Feature,High,5,1,4,0,0,Expert,20.78,0.73,78,0.262,12,23.0,3.5,20.25
Spike,Critical,5,3,4,1,1,Senior,15.05,1.65,51,0.098,2,20.55,6.57,32.58
Spike,High,1,4,4,0,0,Senior,11.64,0.42,36,0.106,4,7.86,7.64,11.76
Feature,Low,3,2,3,0,0,Junior,15.62,1.26,0,0.128,8,14.53,5.16,17.96
Bug,High,13,5,4,0,0,Senior,9.35,1.93,75,0.23,5,17.26,4.42,25.59
Feature,High,3,4,4,1,1,Junior,27.79,3.79,8,0.247,12,20.8,4.28,68.39
Feature,Medium,5,5,4,0,2,Expert,5.87,3.08,82,0.436,4,7.75,4.79,12.44
Feature,High,8,5,2,0,0,Senior,21.64,0.84,17,0.446,7,25.79,8.58,59.48
Bug,High,8,2,4,0,2,Junior,20.12,5.08,38,0.293,13,11.5,5.34,51.2
Bug,High,5,2,1,0,2,Junior,13.47,1.53,74,0.141,4,23.45,3.83,20.97
Feature,High,8,5,4,0,4,Expert,5.89,2.94,74,0.409,8,18.48,2.64,20.93
Feature,Low,3,1,4,0,1,Junior,28.73,3.95,29,0.396,14,21.14,3.54,18.83
Spike,Medium,8,5,3,0,0,Senior,23.64,2.11,19,0.399,10,15.05,5.16,65.27
Feature,Medium,2,5,4,0,0,Senior,32.76,3.45,14,0.008,12,16.13,5.93,23.34
Feature,Critical,3,2,2,1,0,Junior,10.95,1.06,63,0.377,2,30.52,6.59,18.73
Bug,High,1,3,5,0,1,Senior,32.08,2.16,24,0.426,0,17.18,1.64,7.24
Spike,High,8,4,4,1,0,Senior,13.09,3.06,48,0.303,3,27.99,6.52,41.46
Feature,Medium,3,2,4,0,1,Senior,6.28,2.46,66,0.376,6,14.43,4.17,10.81
Improvement,Medium,2,1,4,1,0,Junior,7.13,0.62,25,0.388,12,24.82,3.31,14.61
Improvement,High,2,4,3,0,0,Expert,10.4,0.87,44,0.253,2,8.92,3.98,13.88
Feature,Medium,13,2,5,0,4,Junior,27.93,0.86,91,0.407,12,32.18,8.06,60.29
Improvement,Medium,8,2,3,1,4,Senior,11.27,4.4,5,0.396,9,33.89,8.23,24.59
Feature,High,5,3,3,0,1,Junior,24.95,0.13,31,0.458,7,31.65,1.93,56.68
Bug,Low,5,1,3,0,0,Expert,11.75,8.12,74,0.461,1,12.78,5.45,12.7
Bug,Medium,3,1,2,1,3,Junior,15.88,2.3,76,0.265,8,10.4,5.77,16.32
Bug,Medium,3,2,5,1,0,Senior,35.81,2.33,16,0.016,14,7.2,1.27,24.45
Feature,Low,13,3,2,0,1,Senior,21.01,2.34,45,0.01,13,30.68,7.45,40.55
Technical Debt,Critical,2,2,2,0,0,Expert,24.81,2.22,52,0.469,2,5.03,4.3,12.75
Feature,Medium,3,5,5,0,1,Senior,9.19,5.62,99,0.169,10,22.84,4.76,30.92
Feature,Low,3,5,2,0,2,Senior,7.0,0.7,93,0.189,13,12.27,6.49,18.78
Feature,Medium,3,3,5,0,2,Expert,17.7,2.49,3,0.235,5,7.39,5.22,20.5
Bug,High,3,2,4,1,1,Senior,34.5,1.4,77,0.133,6,7.27,7.73,19.47
Improvement,Medium,5,3,3,0,3,Expert,11.16,3.64,27,0.295,4,30.61,6.36,14.69
Feature,High,2,2,2,0,1,Junior,25.62,9.65,70,0.392,9,30.23,3.03,20.08
Bug,Low,5,2,5,0,1,Senior,35.14,1.03,15,0.129,12,10.25,8.83,18.91
Feature,Low,2,5,1,0,0,Expert,37.51,0.26,77,0.372,4,2.15,2.94,10.07
Bug,Medium,2,4,2,0,0,Expert,39.76,1.14,38,0.336,13,30.55,7.42,10.09
Feature,High,1,1,2,1,2,Expert,30.99,2.64,90,0.263,0,2.95,8.13,3.62
Improvement,High,8,1,5,0,2,Senior,4.85,1.89,29,0.163,3,3.88,7.19,9.39
Feature,Low,3,3,1,0,0,Expert,35.12,3.65,78,0.436,0,28.95,4.8,11.94
Spike,Medium,5,1,1,0,0,Junior,35.65,1.08,56,0.201,8,28.79,8.9,29.03
Feature,Critical,5,5,4,1,0,Junior,23.18,1.92,55,0.187,8,7.88,3.95,105.18
Feature,Medium,5,4,2,0,2,Junior,4.56,2.19,38,0.321,14,2.3,7.18,13.46
Feature,High,3,2,3,0,0,Expert,20.11,1.48,41,0.46,4,3.14,8.9,17.36
Spike,Low,3,2,2,1,0,Junior,10.01,1.7,17,0.254,4,16.42,2.4,22.61
Technical Debt,Critical,3,5,3,1,0,Senior,18.8,3.36,74,0.361,12,15.22,6.87,84.73
Feature,High,5,1,3,0,0,Junior,29.52,9.21,21,0.228,4,7.2,9.11,33.03
Improvement,Critical,3,2,5,1,1,Junior,27.37,6.4,3,0.109,14,31.91,1.93,52.75
Technical Debt,High,8,1,2,0,3,Senior,31.64,3.6,2,0.062,6,19.78,2.31,28.88
Bug,Medium,8,5,5,0,0,Senior,20.11,1.15,60,0.068,14,28.45,4.4,66.22
Bug,Critical,2,2,4,0,0,Junior,21.41,10.07,23,0.011,5,4.53,9.95,16.71
Feature,Medium,2,3,3,0,2,Senior,37.56,2.32,77,0.276,1,34.1,3.02,11.81
Feature,Medium,5,4,1,0,2,Junior,25.98,4.2,51,0.066,10,28.53,3.92,49.82
Technical Debt,High,3,1,3,0,0,Senior,30.41,2.49,66,0.433,9,10.79,8.52,23.87
Spike,High,1,1,4,0,0,Junior,27.25,6.33,30,0.491,2,1.71,2.18,10.65
Bug,Critical,8,1,3,0,4,Senior,26.34,1.34,52,0.248,4,6.59,9.97,30.0
Feature,Medium,2,1,5,0,1,Junior,36.71,2.08,60,0.225,6,15.23,7.65,10.54
Feature,High,13,5,2,0,3,Senior,15.55,2.42,57,0.174,14,1.1,9.63,45.74
Improvement,High,5,5,1,0,0,Junior,18.25,4.55,34,0.319,1,2.39,2.3,51.08
Technical Debt,Low,8,5,5,0,1,Senior,16.43,1.68,30,0.304,10,4.35,3.09,60.74
Technical Debt,Medium,2,5,2,0,1,Junior,31.08,3.41,56,0.172,3,28.53,4.34,26.77
Improvement,Medium,2,2,1,0,2,Senior,35.0,1.28,75,0.172,0,19.59,1.46,7.26
Bug,Medium,5,5,4,0,4,Senior,15.59,4.29,9,0.322,6,7.49,1.55,41.89
Feature,Critical,2,2,3,0,0,Expert,7.41,1.77,83,0.277,14,9.99,9.13,9.73
Feature,High,3,3,1,0,1,Expert,20.78,1.23,17,0.359,14,22.83,1.38,22.64
Technical Debt,High,3,5,4,1,0,Senior,39.4,1.77,55,0.471,10,11.83,7.75,85.83
Bug,Critical,2,3,2,0,2,Senior,9.74,2.67,35,0.39,13,24.19,7.46,20.08
Feature,Medium,2,5,1,0,2,Senior,19.18,1.87,50,0.152,1,27.46,1.66,16.57
Feature,High,8,3,4,1,2,Senior,12.31,0.32,60,0.38,7,11.43,2.69,33.06
Improvement,Medium,2,4,2,0,0,Senior,37.06,2.06,18,0.225,9,13.46,5.09,17.18
Feature,High,1,3,5,1,0,Junior,22.93,8.7,80,0.389,11,2.7,6.77,23.25
Feature,Medium,5,2,3,0,0,Junior,23.99,3.2,10,0.443,10,28.87,9.06,38.55
Bug,Critical,21,1,4,0,0,Senior,2.31,2.32,4,0.125,0,21.61,5.74,15.04
Improvement,Medium,3,3,5,1,0,Senior,26.81,0.62,44,0.119,1,31.2,9.43,27.29
Improvement,Medium,2,1,2,1,3,Senior,13.64,2.61,99,0.216,7,7.42,2.71,11.04
Feature,High,5,4,1,0,0,Junior,21.51,0.27,44,0.026,4,33.66,6.61,43.02
Improvement,Medium,13,4,3,1,1,Senior,22.18,3.55,47,0.343,13,25.03,8.6,90.79
Feature,High,8,2,2,1,2,Expert,24.5,0.2,13,0.375,4,7.68,3.1,33.85
Feature,Medium,5,2,4,1,2,Junior,33.29,1.26,27,0.173,10,16.74,8.1,49.57
Improvement,High,3,3,3,1,1,Senior,13.36,5.62,8,0.233,6,24.76,4.6,41.22
Bug,Medium,5,5,5,1,0,Expert,11.73,3.12,58,0.295,13,1.58,10.0,39.61
Technical Debt,Low,1,4,3,0,0,Junior,32.24,3.66,37,0.037,3,27.53,1.82,8.82
Improvement,Medium,5,1,5,0,0,Expert,29.31,5.55,92,0.356,8,33.22,5.98,23.73
Bug,Medium,5,5,2,1,2,Expert,10.57,3.8,24,0.263,2,3.77,8.05,27.57
Feature,Medium,13,4,1,1,1,Junior,2.03,1.58,71,0.312,7,31.54,7.09,29.22
Feature,Medium,3,3,3,0,1,Junior,27.31,4.14,47,0.362,2,16.79,5.55,28.77
Feature,Medium,1,4,1,1,2,Junior,7.97,2.04,18,0.338,14,18.53,5.62,12.56
Feature,Low,5,2,1,0,2,Junior,38.37,5.46,1,0.048,7,29.56,4.65,27.78
Spike,High,5,1,3,1,4,Expert,24.97,1.29,5,0.391,13,21.05,4.08,36.79
Feature,High,8,1,3,1,2,Junior,34.29,0.29,29,0.305,0,12.95,6.34,42.14
Technical Debt,Medium,2,2,1,1,0,Expert,32.61,4.04,60,0.357,9,25.91,7.74,13.76
Bug,High,3,5,4,1,0,Junior,23.2,3.87,1,0.131,12,5.7,3.51,61.79
Improvement,High,5,2,4,0,0,Expert,18.66,3.26,50,0.111,9,23.65,9.52,22.29
Bug,Medium,3,1,3,1,1,Junior,20.88,3.59,82,0.413,6,27.34,4.28,16.92
Bug,High,8,3,1,0,1,Senior,32.51,0.48,12,0.195,11,12.38,4.91,55.28
Bug,Medium,3,5,1,0,0,Junior,26.34,1.83,48,0.288,0,33.99,4.7,20.24
Feature,Medium,8,4,2,0,2,Junior,9.82,0.24,7,0.276,1,22.78,2.0,20.44
Improvement,Low,5,3,1,1,0,Junior,25.16,2.29,8,0.293,10,4.25,2.04,37.57
Feature,High,8,5,4,1,3,Junior,17.38,3.06,22,0.035,10,33.85,8.16,81.22
Feature,High,3,1,2,0,0,Junior,4.33,0.86,71,0.151,11,26.3,4.43,5.98
Bug,Low,8,1,4,1,0,Senior,16.49,2.31,72,0.033,11,24.65,2.94,27.73
Feature,Medium,3,3,5,0,0,Junior,10.65,1.76,15,0.24,0,9.61,7.37,24.82
Spike,Critical,5,5,3,0,0,Senior,33.87,1.61,15,0.451,9,17.09,9.64,113.76
Spike,Medium,2,4,5,0,0,Senior,5.99,3.39,11,0.195,2,31.64,9.43,14.45
Spike,Medium,3,4,3,1,1,Senior,15.7,0.83,88,0.391,8,11.48,7.51,52.01
Feature,Critical,3,2,4,0,0,Expert,28.43,6.69,10,0.144,0,15.39,2.72,17.57
Feature,High,3,3,4,0,2,Expert,36.1,2.13,81,0.428,2,9.73,2.39,19.74
Spike,High,13,5,5,0,0,Senior,14.74,1.96,12,0.21,1,8.34,8.84,47.34
Bug,High,2,3,3,0,0,Junior,25.04,3.02,34,0.178,4,2.49,9.67,16.41
Spike,High,8,4,3,0,2,Senior,16.2,2.0,81,0.349,11,26.05,6.6,38.52
Spike,Medium,21,5,2,0,0,Senior,9.71,0.36,93,0.256,14,4.09,9.11,72.83
Technical Debt,Medium,1,1,1,0,1,Junior,14.38,2.47,42,0.169,6,19.07,8.33,5.91
Feature,Medium,5,1,2,0,0,Senior,26.16,0.53,29,0.029,14,2.69,2.39,19.44
Feature,Critical,3,5,4,0,0,Junior,29.22,0.65,59,0.083,5,34.45,3.01,41.31
Technical Debt,High,1,3,5,1,0,Junior,16.08,0.33,66,0.386,9,25.12,1.61,21.13
Feature,Low,3,3,3,0,1,Senior,7.8,5.07,28,0.46,4,22.43,5.27,18.78
Feature,High,13,1,2,0,0,Junior,7.3,3.15,24,0.084,12,7.34,3.92,18.85
Bug,Medium,1,1,5,1,1,Junior,32.88,4.14,65,0.285,2,18.95,4.83,5.42
Spike,Low,5,4,5,0,2,Junior,26.82,6.15,4,0.017,12,18.12,1.08,84.33
Improvement,Medium,5,5,1,0,0,Junior,29.67,1.38,94,0.145,6,13.19,7.49,54.49
Bug,Medium,8,3,3,1,3,Junior,20.55,1.76,4,0.224,11,6.31,2.81,74.83
Feature,High,1,4,5,1,0,Junior,19.38,1.98,84,0.368,8,13.48,4.31,19.69
Bug,Medium,5,3,3,0,2,Junior,10.02,4.33,48,0.022,1,21.71,4.62,19.99
Spike,High,5,1,2,0,2,Junior,8.4,4.16,25,0.391,5,17.57,1.6,13.65
Feature,High,5,5,5,0,0,Junior,7.85,0.76,70,0.101,14,20.38,4.29,25.6
Bug,Low,13,2,5,1,3,Senior,39.69,2.43,29,0.38,11,20.45,9.1,97.9
Technical Debt,Critical,8,5,2,1,0,Junior,33.19,2.23,97,0.313,4,9.32,9.04,144.12
Improvement,Medium,1,2,3,0,0,Senior,25.79,1.16,27,0.17,8,4.77,1.22,6.37
Improvement,Medium,3,4,3,0,1,Senior,10.15,2.7,13,0.362,7,18.74,1.27,29.65
Improvement,Medium,3,2,5,0,4,Senior,14.83,2.09,17,0.118,8,31.34,6.35,18.28
Feature,High,3,2,2,0,2,Senior,15.33,5.38,56,0.11,6,34.84,2.84,18.11
Feature,Medium,3,4,4,0,0,Junior,20.15,6.61,80,0.031,4,27.72,9.09,30.8
Technical Debt,Medium,3,5,3,0,1,Expert,18.04,3.11,24,0.197,3,8.52,5.35,27.22
Technical Debt,Low,3,4,4,1,0,Junior,37.5,0.96,69,0.049,13,22.43,3.93,42.95
Technical Debt,Medium,21,1,5,1,0,Junior,29.39,0.73,4,0.21,12,9.12,9.58,65.88
Spike,High,1,1,4,0,1,Junior,5.09,5.39,52,0.005,7,20.6,3.86,8.61
Bug,Medium,13,2,4,1,0,Expert,15.68,0.98,84,0.078,1,17.34,3.89,17.99
Bug,Medium,3,4,3,0,0,Expert,7.05,2.2,38,0.466,0,13.97,2.2,11.49
